Id,SumTotalActivityDates,SumCalories,SumFairlyActiveMinutes,SumLightActiveDistance,SumLightlyActiveMinutes,SumLoggedActivitiesDistance,SumModeratelyActiveDistance,SumSedentaryActiveDistance,SumSedentaryMinutes,SumTotalDistance,SumTotalSteps,SumTrackerDistance,SumVeryActiveDistance,SumVeryActiveMinutes,TotalActiveMinutes,TotalActiveDistance,AverageDailyActiveMinutes,AverageDailySteps,Met daily rec activity mins,Met daily rec step count
1503960366,49,90437,895,208.13000071048737,11154,0.0,36.68999971449375,0.0,41680,386.63999952375895,596789,386.63999952375895,141.50000029802325,1881,13930,386.32000072300434,284.2857142857143,12179.367346938776,TRUE,TRUE
1624580081,49,71689,191,131.33999919891357,7058,0.0,11.70000003278255,0.2899999935179937,63278,173.55000007152555,258360,173.55000007152555,30.100000113248772,283,7532,173.1399993449449,153.71428571428572,5272.65306122449,TRUE,FALSE
1644430081,40,113503,1076,144.0700008273125,7631,0.0,48.8300001733005,0.1999999955296508,45198,226.35000061988836,311237,226.35000061988836,33.239999778568745,435,9142,226.14000077918175,228.55,7780.925,TRUE,FALSE
1844505072,42,68169,49,78.95999924093485,5481,0.0,1.889999955892564,0.0,49829,81.77000037580731,123669,81.77000037580731,0.870000012218952,13,5543,81.71999920904636,131.97619047619048,2944.5,TRUE,FALSE
1927972279,42,94405,44,33.10999977216126,2536,0.0,1.7100000213831668,0.0,52275,37.799999888986356,54570,37.799999888986356,2.9699999764561693,41,2621,37.7899997700006,62.404761904761905,1299.2857142857142,FALSE,FALSE
2022484408,42,107513,870,210.8899993896484,11027,0.0,32.93000005185601,0.0,47197,355.8999993801117,498589,355.8999993801117,112.09999968111512,1606,13503,355.9199991226195,321.5,11871.166666666666,TRUE,TRUE
2026352035,42,64026,8,131.76000002026558,9988,0.0,0.349999994039536,0.0,29282,132.33999994397163,213286,132.33999994397163,0.189999997615814,3,9999,132.30000001192093,238.07142857142858,5078.238095238095,TRUE,FALSE
2320127002,42,71834,93,116.36999899148941,7655,0.0,3.5699999555945388,0.0,52814,124.2899987101555,183884,124.2899987101555,4.259999968111516,53,7801,124.19999891519547,185.73809523809524,4378.190476190476,TRUE,FALSE
2347167796,32,67102,717,141.80000021867457,8348,0.0,38.259999804198756,0.0,22627,212.0700001996011,318355,212.0700001996011,31.989999603480097,420,9485,212.04999962635344,296.40625,9948.59375,TRUE,FALSE
2873212765,42,79775,262,174.97000068426132,12851,0.0,11.689999997615814,0.1799999959766856,47656,211.77999937534332,313868,211.77999937534332,24.91999994590878,498,13611,211.58000062778592,324.07142857142856,7473.047619047619,TRUE,FALSE
2891001357,8,18187,660,4.83000004291534,1350,9.6560640335083,0.0,0.0,8799,4.83000004291534,6189,0.0,0.0,0,2010,4.83000004291534,251.25,773.625,TRUE,FALSE
3372868164,30,57265,117,111.65999960899352,9427,0.0,4.199999962002037,0.3599999919533719,32402,136.30000066757205,198508,136.30000066757205,20.029999762773496,301,9845,135.88999933376905,328.1666666666667,6616.933333333333,TRUE,FALSE
3977333714,41,62187,2213,137.1000003218651,7726,0.0,98.95999938994647,0.0,29731,295.18999773263937,433504,295.18999773263937,58.469999581575394,713,10652,294.529999293387,259.8048780487805,10573.268292682927,TRUE,TRUE
4020332650,62,172372,411,112.26999990083274,6557,0.0,10.309999931603672,0.3699999954551455,73018,183.01000000163913,255135,183.01000000163913,9.709999922662977,291,7259,132.2899997550994,117.08064516129032,4115.080645161291,TRUE,FALSE
4057192912,35,68808,175,43.92000038549304,1796,0.055842999368906,8.039999753236764,0.0599999986588955,48327,55.90000010654332,75743,56.470000278204694,3.410000048577789,43,2014,55.370000187307596,57.542857142857144,2164.0857142857144,FALSE,FALSE
4319703577,43,87099,601,165.73999839834866,10076,0.0,24.169999882578853,0.0,32171,214.72999962978062,319181,214.72999962978062,14.160000026226049,190,10867,204.06999830715355,252.72093023255815,7422.813953488372,TRUE,FALSE
4388161847,39,110352,631,167.28000044822693,7110,0.0,27.95999981462955,0.0,37011,260.1900026798248,335232,260.1900026798248,53.29999987408519,718,8459,248.54000013694167,216.89743589743588,8595.692307692309,TRUE,FALSE
4445114986,45,99389,68,118.59999948740008,9491,0.0,2.959999980404973,0.0,38648,144.21999984979627,213089,144.21999984979627,22.570000100880865,281,9840,144.12999956868592,218.66666666666666,4735.311111111111,TRUE,FALSE
4558609924,42,84993,458,161.60000079870224,11832,0.0,22.52000005543233,0.0,46926,203.38000017404556,307662,203.38000017404556,19.200000032782537,374,12664,203.3200008869171,301.5238095238095,7325.285714285715,TRUE,FALSE
4702921684,45,134254,1066,242.83000171184543,11063,0.0,52.62000004947185,0.0,34660,312.29999935626984,384885,312.29999935626984,16.510000035166748,203,12332,311.960001796484,274.0444444444444,8553.0,TRUE,FALSE
5553957443,42,79776,603,145.549998819828,8592,0.0,31.17000022530557,0.0,28012,240.33000129461288,367247,240.33000129461288,63.5300001502037,1009,10204,240.2499991953373,242.95238095238096,8743.97619047619,TRUE,FALSE
5577150313,41,137092,1205,102.35999971628192,6168,0.0,26.860000144690275,0.0,29957,257.3299987316131,343823,257.3299987316131,127.66999942064284,3520,10893,256.889999281615,265.6829268292683,8385.926829268292,TRUE,FALSE
6117666160,38,84305,98,194.7000002861023,11073,0.0,5.079999923706053,0.0,30937,211.85000133514401,279794,211.85000133514401,4.009999975562094,49,11220,203.79000018537045,295.2631578947368,7363.0,TRUE,FALSE
6290855005,39,97045,217,123.9400007724762,6989,0.0,7.400000095367429,0.2499999944120639,47494,136.1300003528595,180018,136.1300003528595,4.500000000000001,158,7364,135.84000086784363,188.82051282051282,4615.846153846154,TRUE,FALSE
6391747486,9,15868,6,7.590000033378598,309,8.75482988357544,0.0500000007450581,0.0,11357,9.670000195503238,12032,0.9099999666213989,2.02999997138977,46,361,9.670000005513426,40.111111111111114,1336.888888888889,FALSE,FALSE
6775888955,35,79949,828,34.910000011324875,2160,1.95959603786469,20.57999992370605,0.0,42946,83.01999907568099,115543,83.01999907568099,26.919999781996,465,3453,82.40999971702692,98.65714285714286,3301.2285714285713,TRUE,FALSE
6962181067,44,90692,980,183.90000078082082,11240,24.08710503578186,54.74999971687793,0.310000002384186,29020,325.2300009727479,480595,319.5000014305116,86.24000024795531,1202,13422,324.89000074565405,305.04545454545456,10922.613636363636,TRUE,TRUE
7007744171,37,97669,618,182.2899996638298,10629,89.43683218955995,27.059999942779537,0.07000000029802331,39447,314.6799995899201,441533,295.40999960899353,105.26999892294407,1343,12590,314.6199985295534,340.27027027027026,11933.324324324325,TRUE,TRUE
7086361926,42,105681,998,111.29999946430327,5674,0.0,30.629999853670604,0.0599999986588954,37030,247.15999924950304,363772,247.15999924950304,104.56999997794627,1635,8307,246.49999929592013,197.78571428571428,8661.238095238095,TRUE,FALSE
8053475328,41,123145,422,106.50000007450582,6378,0.0,18.569999959319823,0.0,47847,483.0699967890976,620950,483.0699967890976,357.8900010585785,3573,10373,482.9600010924041,253.0,15145.121951219513,TRUE,TRUE
8253242879,30,51528,328,42.85000005364418,2932,0.0,16.610000044107426,0.0399999991059302,40688,108.8300005197525,151840,108.8300005197525,49.30999913811684,460,3720,108.76999923586844,124.0,5061.333333333333,TRUE,FALSE
8378563200,42,146808,442,168.10999941825867,6866,49.728723287582405,22.409999772906303,0.0,30410,291.7400019168853,367872,291.7400019168853,101.19000068306921,2484,9792,291.7099998742342,233.14285714285714,8758.857142857143,TRUE,FALSE
8583815059,39,103823,703,99.01999974250793,5384,0.0,32.36999975889921,0.0,49378,193.09999859333044,247518,193.09999859333044,25.110000304877765,305,6392,156.4999998062849,163.89743589743588,6346.615384615385,TRUE,FALSE
8792009665,40,81791,182,53.82000007666648,4247,0.0,3.060000006109475,0.0,41477,58.179999882355354,90897,58.179999882355354,1.300000002607703,46,4475,58.18000008538366,111.875,2272.425,TRUE,FALSE
8877689391,42,147442,489,267.1200006008148,10168,0.0,16.270000010728825,0.18999999947845891,47053,578.689995765686,706246,578.689995765686,293.15000057592965,2850,13507,576.5400011874733,321.5952380952381,16815.380952380954,TRUE,TRUE
